KY_CD,PD_CD,CRM_ATPT_CPTD_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURISDICTION_CODE,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,BORO_NM
361,639.0,2,3,1,1,0.0,6,2,2,3,2,2,2
363,799.0,2,3,1,2,2.0,2,3,2,6,7,3,3
361,639.0,2,3,1,1,0.0,3,3,2,3,3,2,2
578,638.0,2,2,1,1,0.0,3,1,2,3,1,2,5
578,638.0,2,2,1,19,0.0,1,3,1,3,3,1,2
578,638.0,2,2,1,18,0.0,3,5,1,3,5,1,3
344,101.0,2,3,3,8,0.0,2,1,2,2,1,1,1
361,639.0,2,3,1,6,0.0,2,4,1,2,4,2,4
341,333.0,2,3,1,9,0.0,2,1,2,6,7,4,5
351,254.0,2,3,1,8,0.0,6,7,3,3,2,1,2
109,438.0,2,1,3,14,0.0,6,5,1,6,7,4,1
578,637.0,2,2,1,6,0.0,3,4,1,3,4,1,4
106,109.0,2,1,1,22,0.0,6,3,1,4,2,2,3
351,259.0,2,3,3,2,2.0,3,3,1,3,3,1,2
232,490.0,2,3,3,8,0.0,2,3,1,6,7,3,2
341,353.0,2,3,3,1,0.0,4,3,1,2,2,2,2
341,333.0,2,3,1,16,0.0,6,7,3,6,7,4,4
109,421.0,2,1,3,8,0.0,6,7,3,4,7,1,3
358,705.0,2,3,3,8,0.0,4,2,1,6,7,3,2
341,352.0,2,3,3,1,0.0,6,7,2,3,3,1,4
578,637.0,2,2,1,6,0.0,4,1,2,1,2,1,5
235,567.0,2,3,2,8,0.0,4,1,1,6,7,3,1
344,114.0,2,3,1,6,0.0,2,3,1,3,3,1,2
578,637.0,2,2,1,2,2.0,2,3,2,3,7,1,3
341,333.0,1,3,1,17,0.0,3,3,1,6,7,4,3
126,760.0,2,1,3,8,0.0,3,3,1,6,7,3,4
361,639.0,2,3,1,1,0.0,3,4,1,3,4,1,4
341,339.0,1,3,3,8,0.0,6,1,1,4,4,2,2
341,338.0,2,3,1,19,0.0,6,7,3,1,3,2,3
578,638.0,2,2,3,8,0.0,3,3,1,3,3,1,4
578,638.0,2,2,3,6,0.0,3,3,1,3,4,1,1
341,338.0,2,3,1,16,0.0,6,7,1,6,7,4,4
341,333.0,2,3,1,35,0.0,6,3,3,6,7,4,2
353,462.0,2,3,3,1,0.0,4,3,3,4,3,2,2
344,113.0,2,3,3,8,0.0,6,7,1,3,2,2,2
578,637.0,2,2,1,1,0.0,3,3,1,3,3,2,2
578,637.0,2,2,1,2,2.0,2,3,1,2,3,1,2
351,259.0,2,3,1,6,0.0,3,1,2,4,1,2,1
344,101.0,2,3,3,8,0.0,3,3,1,3,3,1,2
578,638.0,2,2,1,25,0.0,3,1,2,3,1,2,3
578,637.0,2,2,1,1,0.0,3,3,1,3,3,1,1
118,793.0,2,1,3,2,2.0,2,3,1,6,7,3,3
344,101.0,2,3,1,1,0.0,2,3,2,4,3,1,3
106,109.0,2,1,3,8,0.0,3,2,1,3,2,2,2
233,175.0,2,3,1,1,0.0,1,1,1,1,1,1,3
578,638.0,2,2,1,1,0.0,4,2,1,4,2,1,4
106,105.0,2,1,1,6,0.0,2,3,1,4,2,1,1
126,198.0,2,1,1,15,0.0,4,7,1,4,2,1,2
578,638.0,2,2,1,1,0.0,3,2,2,3,2,2,3
578,638.0,2,2,1,1,0.0,3,1,2,3,1,2,3
118,793.0,2,1,3,8,0.0,3,3,1,6,7,3,4
344,101.0,2,3,1,1,0.0,3,3,2,3,3,1,1
344,101.0,2,3,1,1,0.0,4,3,1,4,3,1,1
359,748.0,2,3,1,2,2.0,3,3,1,3,7,1,1
578,638.0,2,2,3,8,0.0,3,3,1,4,3,1,2
235,569.0,2,3,3,8,0.0,3,1,1,6,7,3,3
578,637.0,2,2,1,6,0.0,3,1,1,3,1,1,5
344,113.0,2,3,1,1,0.0,3,3,1,2,3,1,2
