KY_CD,PD_CD,CRM_ATPT_CPTD_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURISDICTION_CODE,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,BORO_NM
344,101.0,2,3,1,18,0.0,3,3,2,3,3,1,3
361,639.0,2,3,1,6,0.0,3,3,2,4,3,2,5
109,417.0,2,1,1,2,2.0,6,3,1,4,4,1,3
107,213.0,2,1,1,36,0.0,6,7,3,6,7,4,2
344,101.0,2,3,1,1,0.0,3,2,1,3,2,2,4
578,638.0,2,2,1,1,0.0,5,1,1,4,1,1,3
351,259.0,2,3,1,1,0.0,2,5,1,6,7,1,3
106,105.0,2,1,1,1,0.0,2,1,1,2,1,1,2
578,637.0,2,2,1,6,0.0,3,4,1,3,4,1,4
344,101.0,2,3,1,7,97.0,2,1,1,6,1,2,4
104,157.0,2,1,1,1,0.0,3,3,1,3,3,1,1
578,637.0,2,2,1,1,0.0,3,3,2,4,3,1,4
361,639.0,2,3,1,6,0.0,6,3,1,2,3,1,4
116,168.0,2,1,1,1,0.0,2,1,1,1,3,1,1
351,259.0,2,3,1,2,2.0,2,3,1,4,3,1,1
341,333.0,2,3,1,16,0.0,6,5,1,6,7,4,5
578,637.0,2,2,1,1,0.0,3,1,1,3,1,1,1
